   n, quick_cmp, quick_swaps, quick_time, heapsort_cmp, heapsort_swaps, heapsort_time, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
 264,      3307,         176,       1465,         3422,           1617,          1762,         17803,           17544,          15408,      34716,        17544,       21071
 265,      5491,         213,       2231,         3442,           1632,          1792,         17876,           17616,          15243,      34980,        17616,       21142
 266,      3505,         168,       1525,         3460,           1645,          1754,         17925,           17664,          15197,      35245,        17664,       21328
 267,      4246,         190,       1799,         3463,           1645,          1754,         18047,           17785,          15336,      35511,        17785,       21295
 268,      2924,         169,       1335,         3472,           1651,          1752,         18259,           17996,          15444,      35778,        17996,       21453
 269,      3032,         171,       1371,         3509,           1658,          1776,         18350,           18086,          15547,      36046,        18086,       21696
 270,      2918,         178,       1339,         3509,           1668,          1780,         18510,           18245,          15680,      36315,        18245,       21805
 271,      3506,         192,       1555,         3514,           1661,          1773,         18687,           18421,          15821,      36585,        18421,       21980
 272,      2879,         172,       1332,         3543,           1675,          1787,         18949,           18682,          16077,      36856,        18682,       22214
 273,      3407,         179,       1518,         3556,           1678,          1791,         18988,           18720,          16085,      37128,        18720,       22279
 274,      3154,         168,       1415,         3589,           1712,          1840,         19048,           18779,          16149,      37401,        18779,       22449
 275,      3000,         177,       1400,         3595,           1704,          1879,         19146,           18876,          16806,      37675,        18876,       23093
 276,      3098,         177,       1486,         3608,           1708,          1883,         19338,           19067,          16456,      37950,        19067,       22827
 277,      3295,         174,       1481,         3622,           1713,          1830,         19443,           19171,          16540,      38226,        19171,       22926
 278,      3239,         172,       1465,         3647,           1738,          1847,         19464,           19191,          16514,      38503,        19191,       23056
 279,      3114,         183,       1431,         3661,           1731,          1846,         19523,           19249,          16583,      38781,        19249,       23152
 280,      3233,         186,       1465,         3676,           1745,          1865,         19673,           19398,          16660,      39060,        19398,       23363
 281,      3184,         184,       1446,         3679,           1741,          1878,         19787,           19511,          16777,      39340,        19511,       23576
 282,      3329,         188,       1508,         3697,           1753,          1874,         20023,           19746,          16975,      39621,        19746,       23715
 283,      3166,         180,       1463,         3703,           1748,          1867,         20118,           19840,          17124,      39903,        19840,       23889
 284,      3429,         184,       1536,         3738,           1778,          1892,         20314,           20035,          17231,      40186,        20035,       24107
 285,      3493,         187,       1573,         3758,           1786,          1899,         20320,           20040,          17234,      40470,        20040,       24164
 286,      3534,         191,       1582,         3766,           1785,          1905,         20573,           20292,          17505,      40755,        20292,       24441
 287,      3416,         189,       1543,         3766,           1784,          1906,         20582,           20300,          17451,      41041,        20300,       24572
 288,      3287,         187,       1494,         3808,           1813,          1925,         20603,           20320,          17488,      41328,        20320,       24703
 289,      3420,         202,       1568,         3825,           1826,          1940,         20724,           20440,          17645,      41616,        20440,       25159
 290,      3600,         201,       1667,         3841,           1821,          1940,         20929,           20644,          17735,      41905,        20644,       25049
